monthly_rent (€),number_of_bedrooms,number_of_bathrooms,Density per sq km,Average Income (€)
1500.0,2.0,1.0,1581.5,60804.0
1500.0,2.0,2.0,69.1,44000.0
1500.0,3.0,1.0,45.1,48765.0
1500.0,3.0,1.0,34.4,39156.0
1500.0,2.0,1.0,50.2,46510.0
1500.0,2.0,1.0,50.4,40024.0
1500.0,3.0,2.0,69.3,42906.0
1500.0,2.0,1.0,68.6,46308.0
1500.0,4.0,3.0,24.7,43480.0
1500.0,3.0,1.0,42.9,41418.0
1500.0,4.0,2.0,24.7,43480.0
1500.0,2.0,1.0,50.4,40024.0
1500.0,2.0,1.0,1581.5,60804.0
1500.0,3.0,1.0,34.4,39156.0
1500.0,3.0,3.0,42.3,43183.0
1500.0,4.0,1.0,32.5,42674.0
1500.0,2.0,1.0,68.6,46308.0
1500.0,1.0,1.0,1581.5,60804.0
1500.0,3.0,3.0,1581.5,60804.0
1500.0,1.0,1.0,45.1,48765.0
1501.0,1.0,1.0,1581.5,60804.0
1516.0,1.0,1.0,1581.5,60804.0
1521.0,2.0,1.0,69.3,42906.0
1521.0,2.0,1.0,69.3,42906.0
1530.0,2.0,2.0,1581.5,60804.0
1542.475,1.0,1.0,169.1,45905.0
1546.0,1.0,1.0,1581.5,60804.0
1550.0,2.0,1.0,68.6,46308.0
1550.0,3.0,3.0,34.4,39156.0
1550.0,3.0,3.0,24.7,43480.0
1550.0,3.0,1.0,37.1,48576.0
1550.0,1.0,1.0,146.2,55861.0
1550.0,1.0,1.0,1581.5,60804.0
1550.0,1.0,1.0,1581.5,60804.0
1550.0,1.0,1.0,32.5,42674.0
1550.0,5.0,3.0,27.6,44833.0
1550.0,1.0,1.0,1581.5,60804.0
1559.0,1.0,1.0,1581.5,60804.0
1564.0,1.0,1.0,1581.5,60804.0
1571.0,1.0,1.0,1581.5,60804.0
1575.0,2.0,1.0,77.5,52284.0
1575.0,1.0,1.0,77.5,52284.0
1575.0,1.0,1.0,1581.5,60804.0
1580.0,4.0,3.0,94.3,53018.0
1581.0,1.0,1.0,1581.5,60804.0
1583.0,2.0,1.0,1581.5,60804.0
1587.0,2.0,2.0,77.5,52284.0
